All Law Firms,Magic Circle,Silver Circle,Top 50 UK Firms,Top 20 US Firms,Top 100 UK Firms,US Firms (All),30 Largest National Firms,Top 200 UK Firms,Recognised Leader in East Anglia,Recognised Leader in the East Midlands,Recognised Leader in the North,Recognised Leader in the North West,Recognised Leader in the South East,Recognised Leader in the South West,Recognised Leader in Wales,Recognised Leader in the West Midlands,Recognised Leader in Yorkshire & Humber
Mackintosh Law,,,,,,,,,,,,,,,,,
Mackrell Turner Garrett,,,,,,,,,,,,,,,,,
Maclay Murray & Spens,,,,,*,,,*,,,,,,,,,
MacRoberts,,,,,,,,*,,,,,,,,,
Magrath,,,,,,,,,,,,,,,,,
Maier Blackburn,,,,,,,,,,,,,,,,,
Maisto e Associati,,,,,,,,,,,,,,,,,
Major Family Law,,,,,,,,,,,,,,,,,
Malik Law Chambers,,,,,,,,,,,,,,,,,
Mancini Legal,,,,,,,,,,,,,,,,,
Maples Teesdale,,,,,,,,,,,,,,,,,
Marks & Clerk,,,,,,,,,,,,,,,,,
Marriott Harrison,,,,,,,,,,,,,,,,,
Martin & Co,,,,,,,,,,,,,,,,,
Martin Johnston & Socha,,,,,,,,,,,,,,,,,
Martin Kaye Solicitors,,,,,,,,,,,,,,,,,
Martyn Prowel Solicitors,,,,,,,,,,,,,,,,,
Mason Hayes & Curran,,,,,,,,,,,,,,,,,
Match Solicitors,,,,,,,,,,,,,,,,,
Matheson,,,,,,,,,,,,,,,,,
Mathys & Squire,,,,,,,,,,,,,,,,,
Matthew Gold & Company,,,,,,,,,,,,,,,,,
Maurice Turnor Gardner,,,,,,,,,,,,,,,,,
Maxwell Gillott,,,,,,,,,,,,,,,,,
Maxwell Winward,,,,,,,,,,,,,,,,,
Mayer Brown,,,,*,,*,,,,,,,,,,,
Mayo Wynne Baxter,,,,,,,,*,,,,,,,,,
Mays Brown,,,,,,,,,,,,,,,,,
McCann FitzGerald,,,,,,,,,,,,,,,,,
McCormicks,,,,,,,,,,,,,,,,,
McCue & Partners,,,,,,,,,,,,,,,,,
McDaniel & Co,,,,,,,,,,,,,,,,,
McDermott Will & Emery,,,,,,*,,,,,,,,,,,
McGill & Co,,,,,,,,,,,,,,,,,
McGlashan MacKay,,,,,,,,,,,,,,,,,
McGuireWoods,,,,,,*,,,,,,,,,,,
McKinty and Wright,,,,,,,,,,,,,,,,,
McMillan Williams,,,,,,,,,,,,,,,,,
Meade King,,,,,,,,,,,,,,,,,
Memery Crystal,,,,,,,,*,,,,,,,,,
Mewburn Ellis,,,,,,,,,,,,,,,,,
MFB,,,,,,,,,,,,,,,,,
MFG Solicitors,,,,,,,,,,,,,,,,,
Michelmores,,,,,*,,,*,,,,,,*,,,
Milbank,,,,*,,*,,,,,,,,,,,
Miles & Partners,,,,,,,,,,,,,,,,,
Miller Samuel Hill Brown,,,,,,,,,,,,,,,,,
Mills & Co,,,,,,,,,,,,,,,,,
Mills & Reeve,,,*,,*,,*,*,*,,,,,,,*,
Mills Selig,,,,,,,,,,,,,,,,,
Minster Law,,,,,,,,*,,,,,,,,,
Mintons,,,,,,,,,,,,,,,,,
Mintz Levin Cohn Ferris Glovsky and Popeo,,,,,,*,,,,,,,,,,,
Mishcon de Reya,,,*,,*,,,*,,,,,,,,,
MKB Solicitors,,,,,,,,,,,,,,,,,
MLM Cartwright,,,,,,,,,,,,,,,,,
Mogers Drewett,,,,,,,,,,,,,,,,,
Moon Beever,,,,,,,,,,,,,,,,,
Moore Blatch,,,,,,,,*,,,,,,,,,
Morgan Lewis,,,,,,*,,,,,,,,,,,
Morgans Criminal Law,,,,,,,,,,,,,,,,,
Morisons,,,,,,,,,,,,,,,,,
Morrison & Foerster,,,,,,*,,,,,,,,,,,
Morrison Mahoney,,,,,,*,,,,,,,,,,,
Morrison Spowart,,,,,,,,,,,,,,,,,
Morrisons Solicitors,,,,,,,,*,,,,,,,,,
Morton Fraser,,,,,,,,*,,,,,,,,,
Mourant Ozannes,,,,,,,,,,,,,,,,,
MPR Solicitors,,,,,,,,,,,,,,,,,
Muckle,,,,,,,,*,,,*,,,,,,
Mulberry's Employment Law Solicitors,,,,,,,,,,,,,,,,,
Mundays,,,,,,,,*,,,,,*,,,,
Murdochs Solicitors,,,,,,,,,,,,,,,,,
Murgitroyd,,,,,,,,,,,,,,,,,
Myerson Solicitors,,,,,,,,,,,,,,,,,
Nabarro,,,*,,*,,,*,,,,*,,,,,*
Napthens,,,,,,,,*,,,,,,,,,
NautaDutilh,,,,,,,,,,,,,,,,,
Needle Partners,,,,,,,,,,,,,,,,,
Nelsons Solicitors,,,,,,,,*,,*,,,,,,,
Neumans,,,,,,,,,,,,,,,,,
NGM Tax Law,,,,,,,,,,,,,,,,,
Nicholas Moore,,,,,,,,,,,,,,,,,
Nixon Peabody,,,,,,*,,,,,,,,,,,
Noble Solicitors,,,,,,,,,,,,,,,,,
Nockolds Solicitors,,,,,,,,,,,,,,,,,
Norton Rose Fulbright,,,*,,*,,,*,,,,,,,,,
O'Connors,,,,,,,,,,,,,,,,,
Ogier,,,,,,,,,,,,,,,,,
OGR Stock Denton,,,,,,,,,,,,,,,,,
Oliver Fisher,,,,,,,,,,,,,,,,,
Olliers,,,,,,,,,,,,,,,,,
Olswang,,,*,,*,,,*,,,,,,,,,
O'Melveny & Myers,,,,,,*,,,,,,,,,,,
Onside Law,,,,,,,,,,,,,,,,,
Orrick Herrington & Sutcliffe,,,,,,*,,,,,,,,,,,
Osborne Clarke,,,*,,*,,*,*,,,,,*,*,,,
Osbornes,,,,,,,,,,,,,,,,,
Oury Clark,,,,,,,,,,,,,,,,,
Owen White,,,,,,,,,,,,,,,,,
Padva Haslam-Jones & Partners,,,,,,,,,,,,,,,,,
Paragon Law,,,,,,,,,,,,,,,,,
Paris Smith,,,,,,,,*,,,,,*,,,,
Parker Bullen,,,,,,,,,,,,,,,,,
Patience and Buchan,,,,,,,,,,,,,,,,,
Paul Hastings,,,,,,*,,,,,,,,,,,
Paul Robinson Solicitors,,,,,,,,,,,,,,,,,
Paul Weiss Rifkind Wharton & Garrison,,,,,,*,,,,,,,,,,,
Payne Hicks Beach,,,,,,,,*,,,,,,,,,
PCB Litigation,,,,,,,,,,,,,,,,,
Peachey & Co,,,,,,,,,,,,,,,,,
Peasegood Solicitors,,,,,,,,,,,,,,,,,
Pemberton Greenish,,,,,,,,*,,,,,,,,,
Penningtons Manches,,,,,*,,,*,,,,,*,,,,
Peter Wilson Legal,,,,,,,,,,,,,,,,,
Peters & Peters,,,,,,,,*,,,,,,,,,
Pillsbury Winthrop Shaw Pittman,,,,,,*,,,,,,,,,,,
Pinney Talfourd,,,,,,,,,,,,,,,,,
Pinsent Masons,,,*,,*,,*,*,,,,*,,,,*,*
Pitmans,,,,,,,,*,,,,,*,,,,
Plexus Law,,,,,,,,,,,,,,,,,
Poppleston Allen,,,,,,,,,,,,,,,,,
Porter Dodson,,,,,,,,*,,,,,,,,,
Portrait Solicitors,,,,,,,,,,,,,,,,,
Potter Clarkson,,,,,,,,,,,,,,,,,
Potter Rees Dolan,,,,,,,,,,,,,,,,,
Powell Gilbert,,,,,,,,,,,,,,,,,
Powell Spencer & Partners,,,,,,,,,,,,,,,,,
Preiskel & Co,,,,,,,,,,,,,,,,,
Prettys,,,,,,,,,*,,,,,,,,
PricewaterhouseCoopers Legal,,,,,*,,,,,,,,,,,,
Prince Evans Solicitors,,,,,,,,,,,,,,,,,
Proskauer Rose,,,,,,*,,,,,,,,,,,
Pryers Solicitors,,,,,,,,,,,,,,,,,
Pure Employment,,,,,,,,,,,,,,,,,
PWT Advice,,,,,,,,,,,,,,,,,
Quinn Emanuel Urquhart & Sullivan,,,,,,*,,,,,,,,,,,
Quist Solicitors,,,,,,,,,,,,,,,,,
RadcliffesLeBrasseur,,,,,,,,*,,,,,,,,,
Radix Legal & Consulting,,,,,,,,,,,,,,,,,
Raeburn Christie Clark & Wallace,,,,,,,,,,,,,,,,,
Rahman Lowe Solicitors,,,,,,,,,,,,,,,,,
Rahman Ravelli,,,,,,,,,,,,,,,,,
Ramsdens,,,,,,,,*,,,,,,,,,
Rawlison Butler,,,,,,,,,,,,,,,,,
Rayden Solicitors,,,,,,,,,,,,,,,,,
Redd Solicitors,,,,,,,,,,,,,,,,,
Reed Smith,,,,*,,*,,,,,,,,,,,
Regulatory Legal Solicitors,,,,,,,,,,,,,,,,,
REN Legal,,,,,,,,,,,,,,,,,
Reynolds Dawson,,,,,,,,,,,,,,,,,
RGC Jenkins & Co,,,,,,,,,,,,,,,,,
Richards Kibbe & Orbe,,,,,,*,,,,,,,,,,,
Rix & Kay,,,,,,,,,,,,,,,,,
RLS Law,,,,,,,,,,,,,,,,,
Roberts Jackson Solicitors,,,,,,,,*,,,,,,,,,
Ronald Fletcher Baker,,,,,,,,,,,,,,,,,
Rooks Rider Solicitors,,,,,,,,,,,,,,,,,
Ropes & Gray,,,,,,*,,,,,,,,,,,
Rosenblatt,,,,,,,,*,,,,,,,,,
Rosetta Tax,,,,,,,,,,,,,,,,,
Rosling King,,,,,,,,,,,,,,,,,
Rowberry Morris,,,,,,,,,,,,,,,,,
Royds,,,,,,,,*,,,,,,,,,
Roythornes,,,,,,,,*,,,,,,,,,
RPC,,,*,,*,,,*,,,,,,,,,
Russell-Cooke,,,,,*,,,*,,,,,,,,,
Russells,,,,,,,,,,,,,,,,,
Rustem Guardian,,,,,,,,,,,,,,,,,
S&O Partnership,,,,,,,,,,,,,,,,,
SA Law,,,,,,,,,,,,,*,,,,
Sacker & Partners,,,,,*,,,,,,,,,,,,
Sackers,,,,,,,,*,,,,,,,,,
SAS Daniels,,,,,,,,,,,,,,,,,
Schillings,,,,,,,,,,,,,,,,,
Schofield Sweeney,,,,,,,,,,,,,,,,,
Schulte Roth & Zabel,,,,,,*,,,,,,,,,,,
Scott & Scott,,,,,,*,,,,,,,,,,,
Scott-Moncrieff & Associates,,,,,,,,,,,,,,,,,
Scrivenger Seabrook,,,,,,,,,,,,,,,,,
Scullion,,,,,,,,,,,,,,,,,
Sears Tooth,,,,,,,,,,,,,,,,,
Secerna,,,,,,,,,,,,,,,,,
Seddons,,,,,,,,*,,,,,,,,,
Sedgwick,,,,,,*,,,,,,,,,,,
Serious Law,,,,,,,,,,,,,,,,,
Seyfarth Shaw,,,,,,*,,,,,,,,,,,
Shakespeare Martineau,,,,,*,,*,*,,*,,,,,,*,
Sharp Young & Pearce,,,,,,,,,,,,,,,,,
Sharpe Pritchard,,,,,,,,,,,,,,,,,
Shaw Graham Kersh,,,,,,,,,,,,,,,,,
Shearman & Sterling,,,,*,,*,,,,,,,,,,,
Shearman Bowen & Co,,,,,,,,,,,,,,,,,
Shepherd and Wedderburn,,,,,*,,,*,,,,,,,,,
Sheridan Gold,,,,,,,,,,,,,,,,,
Sheridans,,,,,,,,,,,,,,,,,
Sherrards Solicitors,,,,,,,,,,,,,*,,,,
Shook Hardy & Bacon,,,,,,*,,,,,,,,,,,
Shoosmiths,,,*,,*,,*,*,,*,,*,*,,,*,
Shulmans,,,,,,,,*,,,,,,,,,
Sidley Austin,,,,*,,*,,,,,,,,,,,
Signature Litigation,,,,,,,,,,,,,,,,,
Signet Partners,,,,,,,,,,,,,,,,,
Sills & Betteridge,,,,,,,,,,,,,,,,,
Simkins,,,,,,,,,,,,,,,,,
Simmons & Simmons,,,*,,*,,,*,,,,,,,,,
Simons Muirhead & Burton,,,,,,,,,,,,,,,,,
Simpson Millar,,,,,,,,*,,,,,,,,,
Simpson Thacher & Bartlett,,,,*,,*,,,,,,,,,,,
Sinels,,,,,,,,,,,,,,,,,
Sintons,,,,,,,,*,,,*,,,,,,
Sipara,,,,,,,,,,,,,,,,,
Skadden,,,,*,,*,,,,,,,,,,,
SKO,,,,,,,,,,,,,,,,,
Slater + Gordon,,,,,,,*,*,,,,,,,,,
Slater Heelis,,,,,,,,,,,,,,,,,
Slaughter and May,*,,*,,*,,,*,,,,,,,,,
Solomon Taylor & Shaw,,,,,,,,,,,,,,,,,
Sonn Macmillan Walker,,,,,,,,,,,,,,,,,
Spearing Waite,,,,,,,,,,*,,,,,,,
Spencers Solicitors,,,,,,,,,,,,,,,,,
Spratt Endicott,,,,,,,,,,,,,,,,,
Spring Ferguson,,,,,,,,,,,,,,,,,
Squire Patton Boggs,,,*,,*,,*,,,,,,,,,*,*
Stamp Jackson & Procter,,,,,,,,,,,,,,,,,
Star Legal,,,,,,,,,,,,,,,,,
Steel & Shamash,,,,,,,,,,,,,,,,,
Steele Raymond,,,,,,,,,,,,,,,,,
Steer and Co,,,,,,,,,,,,,,,,,
Stephens Scown,,,,,,,,*,,,,,,*,,,
Stephenson Harwood,,,*,,*,,,*,,,,,,,,,
Stephensons,,,,,,,,*,,,,,,,,,
Stepien Lake,,,,,,,,,,,,,,,,,
Steptoe & Johnson,,,,,,*,,,,,,,,,,,
Sternberg Reed,,,,,,,,,,,,,,,,,
Stevens & Bolton,,,,,*,,,*,,,,,*,,,,
stevensdrake,,,,,,,,,,,,,,,,,
Stewarts Law,,,,,*,,,*,,,,,,,,,
Stikeman Elliott,,,,,,,,,,,,,,,,,
Stokes Partners,,,,,,,,,,,,,,,,,
Stokoe Partnership,,,,,,,,,,,,,,,,,
Stone King,,,,,,,,*,,,,,,,,,
Storrar Cowdry,,,,,,,,,,,,,,,,,
Stripes Solicitors,,,,,,,,,,,,,,,,,
Stronachs,,,,,,,,,,,,,,,,,
Sullivan & Cromwell,,,,*,,*,,,,,,,,,,,
Sullivan & Worcester,,,,,,*,,,,,,,,,,,
Sullivans Law,,,,,,,,,,,,,,,,,
Sutherland Asbill & Brennan,,,,,,*,,,,,,,,,,,
SVS Solicitors,,,,,,,,,,,,,,,,,
Swan Turton,,,,,,,,,,,,,,,,,
Swindell & Pearson,,,,,,,,,,,,,,,,,
Sydney Mitchell,,,,,,,,,,,,,,,,,
Tapestry Compliance,,,,,,,,,,,,,,,,,
Taylor & Emmet,,,,,,,,*,,,,,,,,,
Taylor Haldane Barlex,,,,,,,,,,,,,,,,,
Taylor Hampton,,,,,,,,,,,,,,,,,
Taylor Vinters,,,,,,,,*,*,,,,,,,,
Taylor Walton,,,,,,,,,,,,,,,,,
Taylor Wessing,,,*,,*,,,*,,,,,,,,,
Teacher Stern,,,,,,,,,,,,,,,,,
Technology Law Alliance,,,,,,,,,,,,,,,,,
Tees Law,,,,,,,,*,,,,,*,,,,
Thackray Williams,,,,,,,,,,,,,,,,,
The Family Law Practice,,,,,,,,,,,,,,,,,
The International Family Law Group,,,,,,,,,,,,,,,,,
The Khan Partnership,,,,,,,,,,,,,,,,,
The Sethi Partnership,,,,,,,,,,,,,,,,,
Thomas & Thomas Partners,,,,,,,,,,,,,,,,,
Thomas Cooper,,,,,,,,,,,,,,,,,
Thomas Eggar,,,,,*,,,*,,,,,*,,,,
Thomas Simon Solicitors,,,,,,,,,,,,,,,,,
Thommessen,,,,,,,,,,,,,,,,,
Thompson & Knight,,,,,,*,,,,,,,,,,,
Thompson Smith and Puxon,,,,,,,,,,,,,,,,,
Thompsons,,,*,,*,,,,,,,,,,,,
Thomson Snell & Passmore,,,,,,,,*,,,,,,,,,
Thomson Webb & Corfield,,,,,,,,,,,,,,,,,
Thorntons Law,,,,,,,,*,,,,,,,,,
Three Crowns,,,,,,,,,,,,,,,,,
Thrings,,,,,*,,,*,,,,,,*,,,
Thursfields Solicitors,,,,,,,,,,,,,,,,,
TLT,,,,,*,,*,*,,,,,,*,,,
Tollers,,,,,,,,*,,,,,,,,,
Travers Smith,,*,*,,*,,,*,,,,,,,,,
Trethowans,,,,,,,,*,,,,,,,,,
Trinity International,,,,,,,,,,,,,,,,,
Trowers & Hamlins,,,*,,*,,*,*,,,,,,,,,
Tuckers Solicitors,,,,,,,,,,,,,,,,,
Tughans,,,,,,,,,,,,,,,,,
Turbervilles,,,,,,,,,,,,,,,,,
Turcan Connell,,,,,,,,*,,,,,,,,,
TV Edwards,,,,,,,,,,,,,,,,,
TWM Solicitors,,,,,,,,*,,,,,,,,,
Vardags,,,,,,,,,,,,,,,,,
Veale Wasbrough Vizards,,,,,*,,,*,,,,,*,*,,,
Vedder Price,,,,,,*,,,,,,,,,,,
Venner Shipley,,,,,,,,,,,,,,,,,
Venters Solicitors,,,,,,,,,,,,,,,,,
Verisona Law,,,,,,,,,,,,,,,,,
Vinson & Elkins,,,,,,*,,,,,,,,,,,
Voisin,,,,,,,,,,,,,,,,,
Volterra Fietta,,,,,,,,,,,,,,,,,
W H Law,,,,,,,,,,,,,,,,,
Walker Morris,,,,,*,,,*,,,,,,,,,*
Walkers,,,,,,,,,,,,,,,,,
Wall James Chappell,,,,,,,,,,,,,,,,,
Wallace,,,,,,,,,,,,,,,,,
Wansbroughs,,,,,,,,,,,,,,,,,
Ward Hadaway,,,,,*,,*,*,,,*,,,,,,
Ward Yates,,,,,,,,,,,,,,,,,
Warners Solicitors,,,,,,,,,,,,,,,,,
Waterfront Solicitors,,,,,,,,,,,,,,,,,
Waterson Hicks,,,,,,,,,,,,,,,,,
Watkins & Gunn Solicitors,,,,,,,,,,,,,,,,,
Watson Brady,,,,,,,,,,,,,,,,,
Watson Burton,,,,,,,,*,,,*,,,,,,
Watson Farley & Williams,,,*,,*,,,*,,,,,,,,,
Wedlake Bell,,,,,*,,,*,,,,,,,,,
Weightmans,,,*,,*,,*,*,,,,,,,,,
Weil,,,,*,,*,,,,,,,,,,,
Wendy Hopkins Family Law Practice,,,,,,,,,,,,,,,,,
Wesley Gryk Solicitors,,,,,,,,,,,,,,,,,
White & Case,,,,*,,*,,,,,,,,,,,
Whitehead Monckton,,,,,,,,,,,,,,,,,
Wiggin,,,,,,,,*,,,,,,,,,
Wiggin Osborne Fullerlove,,,,,,,,,,,,,,,,,
Wikborg Rein,,,,,,,,,,,,,,,,,
Wilkin Chapman,,,,,,,,*,,*,,,,,,,
Willans,,,,,,,,,,,,,,,,,
William Fry,,,,,,,,,,,,,,,,,
Williams Powell,,,,,,,,,,,,,,,,,
Willkie Farr & Gallagher,,,,,,*,,,,,,,,,,,
WilmerHale,,,,,,*,,,,,,,,,,,
Wilson Gunn,,,,,,,,,,,,,,,,,
Wilson Solicitors,,,,,,,,,,,,,,,,,
Wilsons,,,,,,,,*,,,,,,,,,
Winckworth Sherwood,,,,,*,,,*,,,,,,,,,
Winn Solicitors,,,,,,,,*,,,,,,,,,
Winston & Strawn,,,,,,*,,,,,,,,,,,
Winter Scott,,,,,,,,,,,,,,,,,
Withers,,,*,,*,,,*,,,,,,,,,
Withy King,,,,,,,,*,,,,,,*,,,
Woodfines,,,,,,,,,,,,,,,,,
Woodroffes,,,,,,,,,,,,,,,,,
Worthingtons,,,,,,,,,,,,,,,,,
Wortley Byers,,,,,,,,,,,,,,,,,
Wright Hassall,,,,,,,,*,,,,,,,,,
Wrigleys Solicitors,,,,,,,,,,,,,,,,,
ZMS Solicitors,,,,,,,,,,,,,,,,,
